customer ID,Trans date & time,merchant,category,amount,first name ,last name ,gender,street,city,state,zip,City pop,job,Dob,Trans num,approved
0,01-01-2019 00:00,"fraud_Rippin, Kub and Mann",misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,3495,"Psychologist, counselling",09-03-1988,0b242abb623afc578575680df30655b9,0
1,01-01-2019 00:00,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,149,Special educational needs teacher,21-06-1978,1f76529f8574734946361c461b024d99,0
2,01-01-2019 00:00,fraud_Lind-Buckridge,entertainment,220.11,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,4154,Nature conservation officer,19-01-1962,a1a22d70485983eac12b5b88dad1cf95,0
3,01-01-2019 00:01,"fraud_Kutch, Hermiston and Farrell",gas_transport,45,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,1939,Patent attorney,12-01-1967,6b849c168bdad6f867558c3793159a81,0
4,01-01-2019 00:03,fraud_Keeling-Crist,misc_pos,41.96,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,99,Dance movement psychotherapist,28-03-1986,a41d7549acf90789359a9aa5346dcb46,0
5,01-01-2019 00:04,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,2158,Transport planner,19-06-1961,189a841a0a8ba03058526bcfe566aab5,0
6,01-01-2019 00:04,fraud_Rowe-Vandervort,grocery_net,44.54,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,2691,Arboriculturist,16-08-1993,83ec1cc84142af6e2acf10c44949e720,0
7,01-01-2019 00:05,fraud_Corwin-Collins,gas_transport,71.65,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,6018,"Designer, multimedia",21-08-1947,6d294ed2cc447d2c71c7171a3d54967c,0
8,01-01-2019 00:05,fraud_Herzog Ltd,misc_pos,4.27,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,1472,Public affairs consultant,07-03-1941,fc28024ce480f8ef21a32d64c93a29f5,0
9,01-01-2019 00:06,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,151785,Pathologist,28-03-1974,3b9014ea8fb80bd65de0b1463b00b00e,0
10,01-01-2019 00:06,fraud_Rutherford-Mertz,grocery_pos,24.74,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,7297,IT trainer,13-07-1990,d71c95ab6b7356dd74389d41df429c87,0
11,01-01-2019 00:06,fraud_Kerluke-Abshire,shopping_net,7.77,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,1925,Systems developer,14-02-1966,3c74776e558f1499a7824b556e474b1d,0
12,01-01-2019 00:06,fraud_Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,341043,"Engineer, land",28-02-1989,c1d9a7ddb1e34639fe82758de97f4abf,0
13,01-01-2019 00:07,fraud_Kiehn Inc,grocery_pos,96.29,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,589,Systems analyst,21-12-1945,413636e759663f264aae1819a4d4f231,0
